mac,cluster
"7.10-252,217,8,43,220,46",1
"7.10-48,75,38,155,214,98",1
"7.10-20,94,105,220,154,7",1
"7.10-176,241,236,166,12,79",1
"7.10-96,230,240,177,80,251",1
"7.10-164,201,57,205,13,69",1
"7.11-184,148,54,32,44,55",0
"7.11-176,241,236,211,105,14",0
"7.11-32,50,51,210,96,61",0
"7.11-48,74,38,155,214,98",0
"7.11-48,74,38,133,29,213",0
"7.11-8,250,121,45,167,67",0
"7.11-4,207,140,11,128,186",0
"7.11-156,95,90,12,124,73",0
"7.11-48,69,150,180,24,101",0
"7.11-8,74,207,99,147,223",0
"7.11-164,125,159,153,152,106",0
"7.11-208,151,254,41,36,198",0
"7.11-204,129,42,183,42,73",0
"7.11-20,94,105,93,76,199",0
"7.11-88,198,240,41,58,135",0
"7.11-140,37,5,134,24,48",0
"7.11-172,115,82,76,172,89",0
"7.11-112,138,9,131,175,199",0
"7.11-208,151,254,40,222,169",0
"7.11-8,250,121,194,19,245",0
"7.11-248,45,124,72,127,16",0
"7.11-252,190,123,146,220,35",0
"7.11-128,214,5,75,8,213",0
"7.11-192,46,37,42,205,205",0
"7.11-184,55,101,29,72,107",0
"7.11-104,160,62,174,96,98",0
"7.11-112,58,81,118,159,27",0
"7.11-64,140,31,142,167,149",0
"7.11-164,204,185,229,56,107",0
"7.11-124,218,195,126,234,181",0
"7.11-24,2,174,207,62,51",0
"7.11-220,109,205,125,41,209",0
"7.11-104,74,174,67,128,132",0
"7.11-36,17,69,161,50,93",0
"7.11-124,161,119,225,7,54",0
"7.11-252,124,2,134,99,96",0
"7.11-132,65,103,218,221,212",0
"7.11-36,6,170,198,198,211",2
"7.11-108,217,76,95,253,145",1
"7.11-216,50,20,254,96,65",0
"7.11-36,6,170,19,129,255",0
"7.11-60,134,209,115,214,231",0
"7.11-196,64,246,34,203,41",2
"7.11-40,53,69,96,185,108",0
"7.11-204,8,251,70,125,190",1
"7.11-164,201,57,9,43,253",0
"7.11-180,71,245,166,44,220",0
"7.11-136,191,228,175,202,9",0
"7.11-32,238,40,60,214,136",1
"7.11-204,102,10,209,112,18",1
"7.11-108,177,88,58,181,202",1
"7.11-156,116,3,24,100,145",1
"7.11-196,64,246,220,81,179",1
"7.11-84,167,3,191,88,22",1
"7.11-48,74,54,155,214,98",1
"7.11-48,69,17,168,101,46",1
"7.12-32,50,51,210,96,61",0
"7.12-48,74,38,155,214,98",0
"7.12-240,103,40,135,90,171",0
"7.12-208,151,254,41,36,198",0
"7.12-48,74,38,133,29,213",0
"7.12-172,115,82,76,172,89",0
"7.12-104,160,62,174,96,98",0
"7.12-124,218,195,126,234,181",0
"7.12-164,125,159,153,152,106",0
"7.12-252,107,240,89,142,53",0
"7.12-164,204,185,229,56,107",0
"7.12-64,68,253,44,108,157",0
"7.12-48,69,150,180,24,101",0
"7.12-140,37,5,134,24,48",0
"7.12-208,151,254,40,222,169",0
"7.12-208,151,254,41,36,162",0
"7.12-24,2,174,207,62,51",0
"7.12-8,250,121,45,167,67",0
"7.12-64,140,31,52,191,11",0
"7.12-20,94,105,93,76,199",0
"7.12-184,148,54,32,44,55",0
"7.12-56,251,20,50,26,70",0
"7.12-88,198,240,41,58,135",0
"7.12-180,71,245,166,44,220",0
"7.12-60,134,209,115,214,231",0
"7.12-164,156,95,90,12,124",0
"7.12-88,214,151,17,133,245",2
"7.12-128,214,5,75,8,213",0
"7.12-248,45,124,72,127,16",0
"7.12-132,65,103,218,221,212",0
"7.12-8,74,207,99,147,223",0
"7.12-28,209,7,152,33,91",0
"7.12-220,109,205,125,41,209",0
"7.12-164,201,57,9,43,253",0
"7.12-104,74,174,67,128,132",0
"7.12-140,52,1,175,121,255",1
"7.12-108,217,76,95,253,145",0
"7.12-64,140,31,142,167,149",0
"7.12-136,3,233,226,168,73",0
"7.12-164,80,70,27,140,33",0
"7.12-156,116,3,24,100,145",0
"7.12-248,135,241,149,138,83",0
"7.12-124,161,119,225,7,54",0
"7.12-156,116,3,130,126,7",0
"7.12-140,170,206,161,68,84",0
"7.12-164,80,70,102,229,159",0
"7.12-108,177,88,58,181,202",1
"7.12-164,201,57,205,13,69",1
"7.12-164,4,80,213,195,23",1
"7.12-16,246,5,136,198,53",1
"7.12-176,223,193,193,47,17",1
"7.12-16,177,248,92,211,109",1
"7.12-208,110,152,171,43,95",1
"7.12-160,105,116,245,102,94",2
"7.12-48,123,172,71,160,113",1
"7.12-48,74,54,133,29,213",1
"7.12-216,50,20,254,96,65",1
"7.12-176,241,236,166,12,79",1
"7.12-164,125,159,153,152,107",1
"7.12-48,148,53,197,58,225",1
"7.14-112,138,9,131,175,199",0
"7.14-48,74,38,133,29,213",0
"7.14-180,71,245,166,44,220",0
"7.14-156,95,90,12,124,73",0
"7.14-132,65,103,218,221,212",0
"7.14-184,148,54,32,44,55",0
"7.14-32,50,51,210,96,61",0
"7.14-208,151,254,41,36,198",0
"7.14-172,115,82,76,172,89",0
"7.14-64,140,31,52,191,11",0
"7.14-164,204,185,229,56,107",2
"7.14-116,21,117,93,235,62",0
"7.14-164,201,57,205,13,69",0
"7.14-164,125,159,153,152,106",0
"7.14-72,81,197,94,156,205",0
"7.14-248,135,241,149,138,83",2
"7.14-124,218,195,126,234,181",0
"7.14-140,170,206,161,68,84",0
"7.14-144,120,65,31,69,55",0
"7.14-52,8,188,243,248,24",2
"7.14-204,129,42,183,42,73",0
"7.14-156,116,3,130,126,7",0
"7.14-4,237,51,58,71,236",0
"7.14-4,207,140,11,128,186",0
"7.14-48,148,53,197,58,225",0
"7.14-28,209,7,152,33,91",0
"7.14-88,198,240,41,58,135",0
"7.14-56,251,20,50,26,70",0
"7.14-8,250,121,45,167,67",0
"7.14-164,201,57,9,43,253",0
"7.14-24,2,174,207,62,51",0
"7.14-208,151,254,40,222,169",0
"7.14-140,37,5,134,24,48",0
"7.14-220,240,144,185,104,48",0
"7.14-248,195,158,150,36,116",2
"7.14-164,80,70,27,140,33",0
"7.14-40,53,69,96,185,108",0
"7.14-248,45,124,72,127,16",0
"7.14-104,74,174,67,128,132",0
"7.14-208,151,254,41,36,162",0
"7.14-112,58,81,118,159,27",0
"7.14-152,151,204,174,182,173",0
"7.14-64,140,31,142,167,149",0
"7.14-8,74,207,99,147,223",1
"7.14-20,94,105,93,76,199",0
"7.14-32,84,250,87,207,6",1
"7.14-164,125,223,153,152,106",0
"7.14-164,64,140,31,142,167",2
"7.14-192,203,241,128,223,206",2
"7.14-168,152,146,27,125,235",2
"7.14-240,98,90,159,90,22",1
"7.14-48,74,38,155,214,98",1
"7.14-8,250,121,194,19,245",0
"7.14-20,154,16,154,204,112",0
"7.14-164,156,95,90,12,124",0
"7.14-72,70,193,161,116,246",0
"7.14-24,208,197,242,97,13",1
"7.14-132,27,119,107,15,168",0
"7.14-212,26,63,131,183,163",2
"7.14-216,50,20,254,96,65",0
"7.14-192,46,37,42,205,205",0
"7.14-156,116,3,24,100,145",0
"7.14-176,241,236,166,12,79",2
"7.14-80,142,73,24,8,214",2
"7.14-252,4,28,247,178,183",1
"7.14-12,75,84,85,61,8",1
"7.14-48,123,172,71,127,62",1
"7.14-76,111,156,154,6,215",0
"7.14-172,146,50,67,121,50",1
"7.14-108,177,88,58,181,202",1
"7.14-48,123,172,71,160,113",1
"7.14-224,72,211,29,147,111",1
"7.14-76,75,249,224,34,23",1
"7.14-180,165,172,138,160,85",1
"7.14-76,213,119,170,111,119",1
"7.15-164,125,159,153,152,106",2
"7.15-252,107,240,89,142,53",2
"7.15-180,71,245,166,44,220",2
"7.15-184,148,54,32,44,55",2
"7.15-208,151,254,40,222,169",2
"7.15-76,111,156,154,6,215",2
"7.15-140,170,206,161,68,84",2
"7.15-64,140,31,142,167,149",2
"7.15-116,76,161,98,31,201",2
"7.15-156,95,90,12,124,73",2
"7.15-144,120,65,31,69,55",2
"7.15-32,50,51,210,96,61",2
"7.15-48,74,38,133,29,213",2
"7.15-204,129,42,183,42,73",2
"7.15-48,69,150,180,24,101",2
"7.15-4,207,140,11,128,186",2
"7.15-76,213,119,170,111,119",2
"7.15-140,37,5,134,24,48",2
"7.15-172,115,82,76,172,89",2
"7.15-156,116,3,202,211,133",2
"7.15-20,94,105,93,76,199",2
"7.15-156,116,3,130,126,7",2
"7.15-8,250,121,194,19,245",2
"7.15-24,208,197,242,97,13",2
"7.15-60,134,209,115,214,231",1
"7.15-164,201,57,9,43,253",2
"7.15-132,65,103,218,221,212",2
"7.15-84,167,3,191,88,22",2
"7.15-124,218,195,126,234,181",2
"7.15-164,80,70,27,140,33",2
"7.15-64,140,31,52,191,11",2
"7.15-136,191,228,175,202,9",2
"7.15-152,151,204,174,182,173",2
"7.15-88,198,240,41,58,135",2
"7.15-156,116,3,24,100,145",2
"7.15-48,74,38,155,214,98",1
"7.15-48,148,53,197,58,225",1
"7.15-124,161,119,218,83,242",2
"7.15-124,161,119,225,7,54",2
"7.15-200,226,101,223,161,131",2
"7.15-140,217,214,204,25,121",2
"7.15-100,71,205,135,160,247",2
"7.15-124,176,115,164,199,70",2
"7.15-176,241,236,166,12,79",1
"7.18-48,74,38,133,29,213",2
"7.18-20,178,229,137,47,142",2
"7.18-88,198,240,41,58,135",2
"7.18-32,50,51,210,96,61",2
"7.18-184,148,54,32,44,55",2
"7.18-180,71,245,166,44,220",2
"7.18-8,250,121,45,167,67",2
"7.18-204,129,42,183,42,73",0
"7.18-20,94,105,93,76,199",2
"7.18-20,154,16,154,204,112",2
"7.18-108,217,76,95,253,145",2
"7.18-4,207,140,11,128,186",2
"7.18-164,125,159,153,152,106",2
"7.18-156,95,90,12,124,73",2
"7.18-112,138,9,131,175,199",2
"7.18-196,64,246,34,203,41",1
"7.18-164,201,57,9,43,253",2
"7.18-108,250,167,124,18,1",2
"7.18-64,140,31,142,167,149",1
"7.18-172,115,82,76,172,89",1
"7.18-60,134,209,115,214,231",1
"7.18-40,49,102,240,235,181",1
"7.18-156,116,3,24,100,145",1
"7.18-252,124,2,134,99,96",2
"7.18-156,116,3,130,126,7",1
"7.18-132,27,119,107,15,168",1
"7.18-76,2,32,111,66,59",1
"7.18-140,170,206,161,68,84",1
"7.18-72,81,197,94,156,205",2
"7.18-76,2,32,160,146,82",1
"7.18-208,151,254,40,222,169",1
"7.18-196,64,246,220,81,179",1
"7.18-204,102,10,209,112,18",2
"7.18-24,158,44,153,108,178",1
"7.18-96,230,240,154,21,215",1
"7.18-152,34,239,8,233,105",1
"7.18-164,80,70,27,140,33",1
"7.18-176,241,236,166,12,79",1
"7.18-76,24,154,44,218,251",1
"7.18-140,52,1,175,121,255",2
"7.18-224,238,27,201,210,17",1
"7.18-160,148,26,36,89,17",1
"7.18-240,98,90,159,90,22",1
"7.18-156,245,49,209,69,163",1
"7.18-48,231,188,153,110,173",1
