m,trajs
19,"[(8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 4), (4, 1, 14), (14, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 56), (56, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 86), (86, 4, 76), (76, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 86)]"
20,"[(2, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 56), (56, 1, 57), (57, 1, 67), (67, 1, 77), (77, 1, 87), (87, 0, 87), (87, 0, 87), (87, 0, 97), (97, 2, 87)]"
21,"[(8, 3, 7), (7, 3, 8), (8, 3, 7), (7, 3, 8), (8, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 74)]"
22,"[(4, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 35), (35, 1, 25), (25, 1, 35), (35, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74)]"
23,"[(9, 3, 8), (8, 3, 7), (7, 3, 8), (8, 3, 8), (8, 3, 7), (7, 3, 17), (17, 3, 7), (7, 3, 17), (17, 3, 16), (16, 3, 6), (6, 3, 5), (5, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64)]"
24,"[(2, 4, 12), (12, 4, 22), (22, 4, 23), (23, 4, 24), (24, 1, 25), (25, 1, 15), (15, 1, 16), (16, 3, 17), (17, 3, 16), (16, 3, 16), (16, 3, 15), (15, 1, 15), (15, 1, 25), (25, 1, 26), (26, 3, 26), (26, 3, 25), (25, 1, 35), (35, 1, 35), (35, 1, 25), (25, 1, 26)]"
25,"[(4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87), (87, 0, 97), (97, 2, 98), (98, 2, 98), (98, 2, 88), (88, 3, 87)]"
26,"[(7, 3, 6), (6, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 56), (56, 1, 66), (66, 1, 56), (56, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 96), (96, 2, 95), (95, 4, 96), (96, 2, 86), (86, 4, 87), (87, 0, 87), (87, 0, 86)]"
27,"[(0, 4, 10), (10, 2, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 45), (45, 1, 44), (44, 1, 54), (54, 1, 44), (44, 1, 54), (54, 1, 64)]"
28,"[(6, 3, 5), (5, 1, 6), (6, 3, 6), (6, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 66), (66, 1, 67), (67, 1, 77), (77, 1, 87), (87, 0, 77), (77, 1, 76), (76, 1, 66)]"
29,"[(3, 4, 13), (13, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 64), (64, 1, 74), (74, 4, 75), (75, 4, 65), (65, 1, 75), (75, 4, 85), (85, 4, 86), (86, 4, 87), (87, 0, 77), (77, 1, 87)]"
30,"[(8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 65), (65, 1, 75)]"
31,"[(7, 3, 6), (6, 3, 16), (16, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 97), (97, 2, 87)]"
32,"[(1, 4, 2), (2, 4, 3), (3, 4, 13), (13, 4, 3), (3, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 34), (34, 1, 44)]"
33,"[(5, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 66), (66, 1, 76), (76, 1, 66), (66, 1, 76), (76, 1, 75), (75, 4, 76), (76, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87)]"
34,"[(8, 3, 9), (9, 3, 9), (9, 3, 8), (8, 3, 9), (9, 3, 8), (8, 3, 7), (7, 3, 7), (7, 3, 7), (7, 3, 17), (17, 3, 16), (16, 3, 15), (15, 1, 5), (5, 1, 15), (15, 1, 5), (5, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44)]"
35,"[(9, 3, 8), (8, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 77), (77, 1, 77), (77, 1, 87), (87, 0, 87), (87, 0, 87)]"
36,"[(6, 3, 6), (6, 3, 5), (5, 1, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 5), (5, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76)]"
37,"[(8, 3, 7), (7, 3, 8), (8, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 6), (6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 25), (25, 1, 26), (26, 3, 26), (26, 3, 26), (26, 3, 27), (27, 3, 17), (17, 3, 16), (16, 3, 15), (15, 1, 15)]"
38,"[(4, 1, 3), (3, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 23), (23, 4, 13), (13, 4, 23), (23, 4, 24), (24, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 54), (54, 1, 54), (54, 1, 44)]"
39,"[(5, 1, 15), (15, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 25), (25, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 76), (76, 1, 76), (76, 1, 76)]"
40,"[(5, 1, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 16), (16, 3, 17), (17, 3, 27), (27, 3, 26), (26, 3, 25), (25, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 66), (66, 1, 65), (65, 1, 55), (55, 1, 56), (56, 1, 66)]"
41,"[(5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 64), (64, 1, 74), (74, 4, 74), (74, 4, 75), (75, 4, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 77), (77, 1, 67)]"
42,"[(2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 88), (88, 3, 87), (87, 0, 87), (87, 0, 77)]"
43,"[(5, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 84), (84, 4, 85), (85, 4, 95), (95, 4, 96), (96, 2, 97), (97, 2, 96), (96, 2, 86), (86, 4, 85), (85, 4, 86), (86, 4, 87), (87, 0, 87), (87, 0, 77)]"
44,"[(3, 4, 13), (13, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 23), (23, 4, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 74), (74, 4, 74), (74, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87)]"
45,"[(2, 4, 1), (1, 4, 11), (11, 4, 12), (12, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87), (87, 0, 87), (87, 0, 97), (97, 2, 87)]"
46,"[(2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 55), (55, 1, 65), (65, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 75), (75, 4, 65)]"
47,"[(6, 3, 5), (5, 1, 15), (15, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 76), (76, 1, 86), (86, 4, 86), (86, 4, 76), (76, 1, 86), (86, 4, 87)]"
48,"[(0, 4, 0), (0, 4, 1), (1, 4, 1), (1, 4, 2), (2, 4, 12), (12, 4, 12), (12, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86)]"
49,"[(6, 3, 6), (6, 3, 5), (5, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 84), (84, 4, 84), (84, 4, 85), (85, 4, 86), (86, 4, 76), (76, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 77)]"
50,"[(1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 3), (3, 4, 4), (4, 1, 14), (14, 1, 13), (13, 4, 13), (13, 4, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 64), (64, 1, 74)]"
51,"[(2, 4, 1), (1, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 3), (3, 4, 4), (4, 1, 14), (14, 1, 13), (13, 4, 14), (14, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75)]"
52,"[(4, 1, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 16), (16, 3, 16), (16, 3, 26), (26, 3, 25), (25, 1, 35), (35, 1, 25), (25, 1, 35), (35, 1, 25), (25, 1, 35), (35, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 55), (55, 1, 65), (65, 1, 64), (64, 1, 64)]"
53,"[(0, 4, 0), (0, 4, 0), (0, 4, 0), (0, 4, 1), (1, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 34), (34, 1, 44)]"
54,"[(4, 1, 4), (4, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 24), (24, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74)]"
55,"[(1, 4, 2), (2, 4, 2), (2, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 23), (23, 4, 24), (24, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 34), (34, 1, 35), (35, 1, 45), (45, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76)]"
56,"[(2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 65), (65, 1, 65), (65, 1, 75), (75, 4, 75), (75, 4, 76), (76, 1, 77), (77, 1, 87), (87, 0, 97), (97, 2, 87)]"
57,"[(7, 3, 7), (7, 3, 6), (6, 3, 7), (7, 3, 8), (8, 3, 7), (7, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 26), (26, 3, 25), (25, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76)]"
58,"[(1, 4, 2), (2, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 4), (4, 1, 5), (5, 1, 15), (15, 1, 25), (25, 1, 24), (24, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 44)]"
59,"[(7, 3, 6), (6, 3, 6), (6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87)]"
60,"[(8, 3, 7), (7, 3, 17), (17, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 75), (75, 4, 85), (85, 4, 85), (85, 4, 86), (86, 4, 85), (85, 4, 86), (86, 4, 76), (76, 1, 66), (66, 1, 76), (76, 1, 86)]"
61,"[(3, 4, 4), (4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 54), (54, 1, 55), (55, 1, 56), (56, 1, 66), (66, 1, 67), (67, 1, 77), (77, 1, 87), (87, 0, 87), (87, 0, 97), (97, 2, 87)]"
62,"[(4, 1, 5), (5, 1, 15), (15, 1, 15), (15, 1, 16), (16, 3, 16), (16, 3, 15), (15, 1, 16), (16, 3, 17), (17, 3, 16), (16, 3, 15), (15, 1, 15), (15, 1, 5), (5, 1, 4), (4, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 35)]"
63,"[(5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 54), (54, 1, 55), (55, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 85), (85, 4, 86), (86, 4, 85)]"
64,"[(6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 44), (44, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 97), (97, 2, 87)]"
65,"[(2, 4, 2), (2, 4, 3), (3, 4, 3), (3, 4, 4), (4, 1, 4), (4, 1, 14), (14, 1, 15), (15, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87)]"
66,"[(8, 3, 7), (7, 3, 6), (6, 3, 16), (16, 3, 17), (17, 3, 16), (16, 3, 6), (6, 3, 7), (7, 3, 6), (6, 3, 6), (6, 3, 16), (16, 3, 15), (15, 1, 25), (25, 1, 26), (26, 3, 26), (26, 3, 26), (26, 3, 26), (26, 3, 27), (27, 3, 26), (26, 3, 26), (26, 3, 25)]"
67,"[(7, 3, 7), (7, 3, 7), (7, 3, 17), (17, 3, 27), (27, 3, 26), (26, 3, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 55), (55, 1, 56), (56, 1, 56), (56, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 86), (86, 4, 86), (86, 4, 76), (76, 1, 86), (86, 4, 87)]"
68,"[(4, 1, 14), (14, 1, 13), (13, 4, 14), (14, 1, 13), (13, 4, 23), (23, 4, 24), (24, 1, 34), (34, 1, 34), (34, 1, 34), (34, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 74), (74, 4, 75), (75, 4, 76), (76, 1, 76), (76, 1, 86), (86, 4, 87)]"
69,"[(6, 3, 6), (6, 3, 5), (5, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 25), (25, 1, 25), (25, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 56), (56, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 87), (87, 0, 86), (86, 4, 76), (76, 1, 66), (66, 1, 66)]"
70,"[(2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 4), (4, 1, 14), (14, 1, 24), (24, 1, 24), (24, 1, 25), (25, 1, 25), (25, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 46), (46, 1, 56), (56, 1, 66), (66, 1, 66), (66, 1, 76), (76, 1, 86), (86, 4, 87)]"
71,"[(4, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 64), (64, 1, 64), (64, 1, 64), (64, 1, 64), (64, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87), (87, 0, 87), (87, 0, 87)]"
72,"[(9, 3, 19), (19, 1, 19), (19, 1, 9), (9, 3, 8), (8, 3, 8), (8, 3, 9), (9, 3, 8), (8, 3, 7), (7, 3, 17), (17, 3, 18), (18, 3, 17), (17, 3, 16), (16, 3, 15), (15, 1, 14), (14, 1, 24), (24, 1, 34), (34, 1, 24), (24, 1, 14), (14, 1, 13), (13, 4, 23)]"
73,"[(4, 1, 3), (3, 4, 2), (2, 4, 3), (3, 4, 2), (2, 4, 3), (3, 4, 4), (4, 1, 14), (14, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 45), (45, 1, 55), (55, 1, 65), (65, 1, 65), (65, 1, 55), (55, 1, 65), (65, 1, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87)]"
74,"[(6, 3, 5), (5, 1, 15), (15, 1, 25), (25, 1, 15), (15, 1, 16), (16, 3, 15), (15, 1, 15), (15, 1, 25), (25, 1, 35), (35, 1, 34), (34, 1, 44), (44, 1, 54), (54, 1, 64), (64, 1, 74), (74, 4, 75), (75, 4, 76), (76, 1, 86), (86, 4, 87), (87, 0, 87), (87, 0, 87)]"
